"CAMIS","DBA","BORO","BUILDING","STREET","ZIPCODE","PHONE","CUISINE DESCRIPTION","INSPECTION DATE","ACTION","VIOLATION CODE","VIOLATION DESCRIPTION","CRITICAL FLAG","SCORE","GRADE","GRADE DATE","RECORD DATE","INSPECTION TYPE","Latitude","Longitude","Community Board","Council District","Census Tract","BIN","BBL","NTA","Location"
"50175446","THOMPSON CENTRAL PARK","Manhattan","119","WEST   56 STREET","10019","6317678222",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,76401185486","-73,97853530556","105","06","013700","1023455","1010090019","MN17","POINT (-73.978535305561 40.764011854863)"
"50107047","KING BARKA","Manhattan","2733","FREDERICK DOUGLASS BOULEVARD",,"3476418572","Caribbean","07/02/2024","Violations were cited in the following area(s).","06F","Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.","Critical","50",,,"01/02/2026","Cycle Inspection / Initial Inspection","0","0",,,,,"1",,
"50086002","HER NAME WAS CARMEN","Manhattan","527","BROOME STREET","10013","9172620107","Peruvian","07/06/2022","Violations were cited in the following area(s).","10G","Dishwashing and ware washing:  Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.","Not Critical","12","A","07/06/2022","01/02/2026","Cycle Inspection / Initial Inspection","40,72388536564","-74,00408037264","102","03","004700","1007101","1004767501","MN24","POINT (-74.004080372642 40.723885365637)"
"50045647","WU'S WONTON KING","Manhattan","165","EAST BROADWAY","10002","2124771111","Chinese","01/09/2024","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","31",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,71405598952","-73,9900079938","103","01","000600","1003627","1002840028","MN28","POINT (-73.990007993797 40.714055989521)"
"50075461","POPEYES","Manhattan","2300","ADAM CLAYTON POWELL JR BOULEVARD",,"6463689765","Chicken","04/30/2024","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical","22",,,"01/02/2026","Cycle Inspection / Initial Inspection","0","0",,,,,"1",,
"50134655","CELESTIAL/ THE BATEAUX","Manhattan",,"CHELSEA PIERS","10011","2017369231",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,74799238667","-74,00849574392",,,,,,,"POINT (-74.008495743918 40.747992386672)"
"50127927","JUST LORRAINE'S PLACE TWO","Manhattan","2247","ADAM CLAYTON POWELL JR BOULEVARD",,"2122340720","American","12/03/2024","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","37",,,"01/02/2026","Cycle Inspection / Initial Inspection","0","0",,,,,"1",,
"50145039","99 CENTS DELICIOUS PIZZA 2","Manhattan","558","7 AVENUE","10018","6465756046","Pizza","07/26/2024","Violations were cited in the following area(s).","20-06","Current letter grade or Grade Pending card not posted","Not Critical",,,,"01/02/2026","Administrative Miscellaneous / Initial Inspection","40,75465360412","-73,98796616242","105","03","011300","1014504","1007890043","MN17","POINT (-73.987966162424 40.754653604121)"
"50118343","RITA & MARIA","Brooklyn","558","HALSEY STREET","11233","9177030718","American","03/23/2023","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","7","A","03/23/2023","01/02/2026","Pre-permit (Operational) / Re-inspection","40,68376730503","-73,93266583003","303","36","029500","3046434","3016650044","BK35","POINT (-73.932665830028 40.683767305028)"
"50176535","YO YO CHICKEN","Manhattan","934","AMSTERDAM AVENUE","10025","9172083240","Chicken","12/13/2025","Violations were cited in the following area(s).","04A","Food Protection Certificate (FPC) not held by manager or supervisor of food operations.","Critical","22","N",,"01/02/2026","Pre-permit (Operational) / Initial Inspection","40,80033282698","-73,96579515665","107","07","019100","1056619","1018770036","MN12","POINT (-73.965795156647 40.800332826981)"
"50092595","1982 COFFEE ROASTERS","Brooklyn","5403","13 AVENUE","11219","7184751982","Coffee/Tea","12/08/2022","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","80",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,63216043008","-73,99508580979","312","44","023800","3139408","3056770009","BK88","POINT (-73.995085809789 40.632160430076)"
"50040296","GAMMEEOK","Manhattan","9","WEST   32 STREET","10001","2128681180","Korean","03/11/2025","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical","21",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,74739075055","-73,98605108214","105","04","007600","1015851","1008340035","MN17","POINT (-73.986051082137 40.747390750548)"
"50104950","TANDOORI KITCHEN","Queens","154-12","ROCKAWAY BOULEVARD","11434","3476767746","Indian","01/09/2025","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","36","C","01/09/2025","01/02/2026","Cycle Inspection / Re-inspection","40,66793262223","-73,78100952164","412","28","029400","4541582","4121370141","QN02","POINT (-73.78100952164 40.667932622227)"
"50168203","OSTERIA DI DARWIN","Queens","40-05","SKILLMAN AVENUE","11104","9174028102",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,74719586468","-73,92341650594","402","26","017100","4002375","4001830292","QN31","POINT (-73.923416505935 40.747195864681)"
"50016020","BANHMIGOS","Brooklyn","636","PARK PLACE","11238","7184839933","Southeast Asian","03/16/2023","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","25","B","03/16/2023","01/02/2026","Cycle Inspection / Re-inspection","40,67420796655","-73,956955595","308","35","021700","3029278","3011680049","BK61","POINT (-73.956955595002 40.674207966552)"
"50142478","BB.Q CHICKEN & PUB","Queens","35-21","30 AVENUE","11103","3475070027","Korean","11/03/2025","Violations were cited in the following area(s).","04A","Food Protection Certificate (FPC) not held by manager or supervisor of food operations.","Critical","24","B","11/03/2025","01/02/2026","Cycle Inspection / Re-inspection","40,76528554889","-73,91795173095","401","22","006502","4009223","4006290041","QN70","POINT (-73.917951730946 40.765285548892)"
"50121215","J'S KITCHEN NEW YORK","Manhattan","261","1 AVENUE","10003","9172620434","Japanese","04/26/2025","No violations were recorded at the time of this inspection.",,,"Not Applicable","0",,,"01/02/2026","Inter-Agency Task Force / Initial Inspection","40,7320908592","-73,98189403969","106","02","004800","1020421","1009220020","MN21","POINT (-73.981894039686 40.7320908592)"
"50017748","HOME CHEF INTERNATIONAL FLAVORS","Queens","231-14","MERRICK BOULEVARD","11413","7187495745","Caribbean","03/14/2025","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","19",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,67562346448","-73,73903825759","413","31","063200","4282638","4131580035","QN66","POINT (-73.739038257589 40.675623464484)"
"41202725","DUNKIN","Queens","75-20","37 AVENUE","11372","7183975660","American","08/05/2024","No violations were recorded at the time of this inspection.",,,"Not Applicable","0","A","08/05/2024","01/02/2026","Cycle Inspection / Re-inspection","40,74907682679","-73,89054600541","403","25","028700","4029851","4012860030","QN28","POINT (-73.890546005406 40.749076826787)"
"50097866","ZHANG LIANG HOT POT","Queens","136-49","ROOSEVELT AVENUE","11354","3474296999","Chinese","08/05/2024","Violations were cited in the following area(s).","09E","Wash hands sign not posted near or above hand washing sink.","Not Critical","35",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,75998263424","-73,82847685909","407","20","087100","4112511","4049800064","QN22","POINT (-73.828476859092 40.759982634242)"
"50177237","WEISSABI 2 LLC","Brooklyn","6011","20 AVENUE","11204","3474846089",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,61923957829","-73,98300899488","312","44","024600","3132259","3055210005","BK88","POINT (-73.983008994884 40.619239578292)"
"50154905","TAGMO NYC  PLANT JUNKIE","Manhattan","226","FRONT STREET","10038","6462012667",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,70751287394","-74,00216772707","101","01","001501","1001342","1000970036","MN25","POINT (-74.002167727074 40.707512873941)"
"50160082","GIGI'S BAKERY 86","Brooklyn","8626","4 AVENUE","11209","6463011610","Bakery Products/Desserts","04/22/2025","Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical","31",,,"01/02/2026","Pre-permit (Operational) / Initial Inspection","40,6225557472","-74,02845784114","310","47","006000","3153495","3060440147","BK31","POINT (-74.028457841136 40.622555747198)"
"50178971","LADY MOO MOO ICE CREAM  CORP","Brooklyn","1210","HALSEY STREET","11207","6464336786",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,69178511966","-73,90925466826","304","37","043700",,"3","BK77","POINT (-73.909254668259 40.691785119661)"
"50158503","BURGER BROS NY INC.","Manhattan","459","LENOX AVENUE","10037","9145391717",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,81264166472","-73,94193489505","110","09","022600","1058168","1019170035","MN03","POINT (-73.941934895053 40.812641664722)"
"50006741","GRACE CAFE","Manhattan","572","8 AVENUE","10018","2129218141","American","03/25/2024","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","26",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,75482135303","-73,99153225727","105","03","011300","1014470","1007880001","MN17","POINT (-73.991532257266 40.754821353032)"
"50101932","TAQUERIA EL MAGUEY","Brooklyn","3917","4 AVENUE","11232","3476892480","Mexican","03/29/2023","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical","25","B","03/29/2023","01/02/2026","Cycle Inspection / Re-inspection","40,65246899894","-74,00631039332","307","38","008400","3010521","3007090003","BK32","POINT (-74.00631039332 40.652468998942)"
"50168919","THE SANDWICH SHOP","Brooklyn","658A","GRAND STREET","11211","9179325662","Sandwiches","12/07/2025","Violations were cited in the following area(s).","04A","Food Protection Certificate (FPC) not held by manager or supervisor of food operations.","Critical","36","N",,"01/02/2026","Pre-permit (Operational) / Initial Inspection","40,71141428728","-73,9461390939","301","34","050300","3331617","3027870019","BK90","POINT (-73.946139093903 40.71141428728)"
"50116515","EL AGUACATE BAR RESTAURANT","Bronx","1204","MORRISON AVENUE","10472","9176848600","Mexican","04/16/2024","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","18",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,82980574315","-73,87466856412","209","17","006200","2025383","2037780005","BX08","POINT (-73.874668564117 40.829805743152)"
"40380592","MONTERO BAR & GRILL","Brooklyn","73","ATLANTIC AVENUE","11201","6467294129","American","11/24/2025","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical","11","A","11/24/2025","01/02/2026","Cycle Inspection / Initial Inspection","40,69124735965","-73,99798786108","302","33","000700","3002254","3002580102","BK09","POINT (-73.997987861076 40.691247359648)"
"50135842","TOWN FOODS","Queens","41-28","MAIN STREET","11355","7188657777","Chinese","07/20/2025","No violations were recorded at the time of this inspection.",,,"Not Applicable","0",,,"01/02/2026","Inter-Agency Task Force / Initial Inspection","40,75734855412","-73,82907563972","407","20","084900","4312192","4050420035","QN22","POINT (-73.829075639723 40.757348554116)"
"50123693","BIRRIA LES TACOS","Manhattan",,"SAINT MARKS PLACE",,"9173611017","Mexican","11/01/2023","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","24",,,"01/02/2026","Cycle Inspection / Initial Inspection",,,,,,,,,
"50153530","LEE & BAI CHINESE BUNS SHOP","Queens","38-09","UNION STREET","11354","9172852388","Chinese","08/06/2025","Violations were cited in the following area(s).","09A","Swollen, leaking, rusted or otherwise damaged canned food to be returned to distributor not segregated from intact product and clearly labeled DO NOT USE","Critical","48",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,76153131776","-73,82707224904","407","20","086500","4113588","4050200007","QN22","POINT (-73.827072249036 40.761531317758)"
"50069989","LEGASEA ,  BAR MOXY","Manhattan","485","7 AVENUE","10018","2122681888","American","10/03/2022","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","0",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,75245795067","-73,98954382906","105","03","010900","1015235","1008127501","MN17","POINT (-73.989543829055 40.752457950673)"
"41254605","OCEAN'S 8 @ SPORTS BAR & GRILL","Brooklyn","308","FLATBUSH AVENUE","11238","7188575555","American","08/25/2025","Violations were cited in the following area(s).","28-06","Contract with a pest management professional not in place. Record of extermination activities not kept on premises.","Not Critical","33",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,677372017","-73,97262187841","306","39","016100","3024351","3010570005","BK64","POINT (-73.972621878405 40.677372017003)"
"50133259","PAIN DE VIE","Queens","218-77","HEMPSTEAD AVENUE","11429","5165473962","Caribbean","11/28/2025","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical","46",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,7131913964","-73,73547098838","413","27","056800","4230905","4107720043","QN34","POINT (-73.735470988375 40.713191396399)"
"50163627","BAGELS AND MORE","Queens","34-15","103 STREET","11368","9294027091","Latin American","10/09/2025","Violations were cited in the following area(s).","04K","Evidence of rats or live rats in establishment's food or non-food areas.","Critical","57","C","10/09/2025","01/02/2026","Cycle Inspection / Re-inspection","40,75549464365","-73,86527628748","403","21","037900","4619919","4017440051","QN26","POINT (-73.865276287481 40.755494643652)"
"50102047","MOMO'S MEDITERRANEAN GRILL","Brooklyn","25","101 AVENUE","11208","7185522270","Mediterranean","06/10/2024","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","19",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,67924857378","-73,86374001058","305","37","118800","3094201","3041850065","BK83","POINT (-73.863740010575 40.679248573779)"
"50104946","NEW HAPPY GOLDEN HOUSE","Queens","105-04","LIBERTY AVENUE","11417","7186595909","Chinese","08/14/2024","Violations were cited in the following area(s).","06F","Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.","Critical","29",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,68247854279","-73,83601059511","410","28","009400","4202133","4095280002","QN55","POINT (-73.836010595112 40.682478542792)"
"50134858","IPIZZANY","Manhattan","3801","BROADWAY","10032","6463441533","Pizza","12/27/2024","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","13","A","12/27/2024","01/02/2026","Cycle Inspection / Re-inspection","40,83477372146","-73,94436565696","112","07","024700","1063301","1021360001","MN36","POINT (-73.944365656956 40.834773721457)"
"50122424","ADMIRAL'S CLUB","Queens",,"TERMINAL B",,"7184065129",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,,,,,,,,,
"50005068","JALAPENO KING","Brooklyn","719","5 AVENUE","11215","3479873777","Tex-Mex","08/28/2021","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140º F.","Critical","7","A","08/28/2021","01/02/2026","Cycle Inspection / Initial Inspection","40,66041242568","-73,99437367134","307","39","014500","3017613","3008990003","BK32","POINT (-73.994373671344 40.660412425676)"
"50121084","TACO BELL","Staten Island","2471","HYLAN BOULEVARD","10306","9174260321","Tex-Mex","11/18/2025","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","7","A","11/18/2025","01/02/2026","Cycle Inspection / Initial Inspection","40,57095176837","-74,10927977628","502","50","012200","5104779","5036490060","SI45","POINT (-74.109279776276 40.570951768371)"
"50115431","RED PIPES CAFE","Queens","71-60","AUSTIN STREET","11375","7183743436","Coffee/Tea","02/16/2024","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","37",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,71956230282","-73,84320981106","406","29","073700","4077922","4032550033","QN17","POINT (-73.843209811061 40.719562302818)"
"50120763","ARTHUR'S TAVERN","Manhattan","57","GROVE STREET","10014","7183444404","American","01/04/2024","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","13","A","01/04/2024","01/02/2026","Cycle Inspection / Initial Inspection","40,73310231123","-74,00339897856","102","03","007300","1010204","1005910061","MN23","POINT (-74.003398978555 40.733102311231)"
"50124131","KEVIN REMPIRE RESTAURANT 319 CORP","Manhattan","319","WEST   51 STREET","10019","5165134497",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,7632335449","-73,9863979113","104","03","013300","1025209","1010420022","MN15","POINT (-73.986397911303 40.763233544899)"
"41391794","BEST PIZZA ON 1ST.","Manhattan","1038","1 AVENUE","10022","2126448400","Pizza","11/20/2025","Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical","43",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,7580572898","-73,96308808075","106","05","010601","1040466","1013680001","MN19","POINT (-73.963088080754 40.758057289797)"
"50129887","THE SHOWROOM BAKEHOUSE","Manhattan","42","WEST   42 STREET","10036","6466453020",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,75406823942","-73,98232117075","105","04","008400","1085593","1012570002","MN17","POINT (-73.982321170752 40.754068239421)"
"50149628","SUBWAY","Brooklyn","5100","KINGS PLAZA","11234","9174352312","Sandwiches","11/01/2024","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","17","B","11/01/2024","01/02/2026","Pre-permit (Operational) / Re-inspection","40,60992885454","-73,92228161707","318","46","069800","3326830","3084700055","BK45","POINT (-73.922281617072 40.609928854538)"
"50175048","TIDE ISLE TEA COLLECTION INC","Queens","69-38","GRAND AVENUE","11378","6465526092",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,72661704695","-73,89415125742","405","30","049302","4062601","4027920006","QN30","POINT (-73.894151257424 40.726617046953)"
"41690699","NEW OCEAN","Manhattan","393","LENOX AVENUE","10027","2122899293","Chinese","08/05/2024","No violations were recorded at the time of this inspection.",,,"Not Applicable",,,,"01/02/2026","Administrative Miscellaneous / Initial Inspection","40,81080335766","-73,94328035018","110","09","022400","1079507","1019140034","MN03","POINT (-73.943280350183 40.810803357656)"
"50162908","L & L HAWAIIN BARBECUE","Manhattan","902","BROADWAY","10010","8082254221","Hawaiian","06/17/2025","Violations were cited in the following area(s).","10A","Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.","Not Critical","47","C","06/17/2025","01/02/2026","Pre-permit (Operational) / Re-inspection","40,73927213116","-73,98972633598","105","02","005200","1016201","1008490016","MN13","POINT (-73.989726335977 40.739272131163)"
"50018078","PHIL-AM KUSINA","Staten Island","556","TOMPKINS AVENUE","10305","7187273663","Filipino","09/08/2022","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","0",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,61251040837","-74,07126352418","501","49","003600","5146753","5029760008","SI37","POINT (-74.071263524176 40.612510408373)"
"50040296","GAMMEEOK","Manhattan","9","WEST   32 STREET","10001","2128681180","Korean","01/18/2023","Violations were cited in the following area(s).","06F","Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.","Critical","79","C","01/18/2023","01/02/2026","Cycle Inspection / Re-inspection","40,74739075055","-73,98605108214","105","04","007600","1015851","1008340035","MN17","POINT (-73.986051082137 40.747390750548)"
"50177717","150 20TH MANAGEMENT LLC","Brooklyn","150","20 STREET","11232","7185719800",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,66379406111","-73,99600622075","307","38","014500","3009234","3006390025","BK32","POINT (-73.996006220753 40.663794061106)"
"41469854","CHINA PAGODA","Brooklyn","6918","5 AVENUE","11209","7182386184","Chinese","11/15/2022","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","13","A","11/15/2022","01/02/2026","Cycle Inspection / Re-inspection","40,63327571892","-74,02109822649","310","43","013000","3145760","3058730049","BK31","POINT (-74.021098226489 40.633275718916)"
"50125730","Blue Diamond Coffee Shop","Bronx","249B","WEST  231 STREET",,"3472029438","American","04/17/2025","Violations were cited in the following area(s).","10E","Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment","Not Critical","10","A","04/17/2025","01/02/2026","Cycle Inspection / Initial Inspection","0","0",,,,,"2",,
"50058269","ESPINAL DELI & GROCERY","Brooklyn","282","NOSTRAND AVENUE","11205","7188571784","Spanish","10/03/2025","Violations were cited in the following area(s).","04A","Food Protection Certificate (FPC) not held by manager or supervisor of food operations.","Critical","26","B","10/03/2025","01/02/2026","Cycle Inspection / Re-inspection","40,69025725827","-73,95155793413","303","36","024100","3049733","3017830055","BK75","POINT (-73.951557934126 40.690257258274)"
"50066987","SUPREME DINER","Queens","82-65","PARSONS BOULEVARD","11432","7189699317","American","03/01/2023","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","13","A","03/01/2023","01/02/2026","Cycle Inspection / Re-inspection","40,71667623661","-73,80804835652","408","24","126700","4148528","4068590014","QN38","POINT (-73.808048356516 40.716676236607)"
