"CAMIS";"DBA";"BORO";"BUILDING";"STREET";"ZIPCODE";"PHONE";"CUISINE DESCRIPTION";"INSPECTION DATE";"ACTION";"VIOLATION CODE";"VIOLATION DESCRIPTION";"CRITICAL FLAG";"SCORE";"GRADE";"GRADE DATE";"RECORD DATE";"INSPECTION TYPE";"Latitude";"Longitude";"Community Board";"Council District";"Census Tract";"BIN";"BBL";"NTA";"Location"
"50167777";"THE FISH BAR";"Bronx";"2421";"ARTHUR AVENUE";"10458";"9178317532";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.85602545758";"-73.88717008998";"206";"15";"038900";"2120567";"2030660022";"BX06";"POINT (-73.887170089976 40.856025457575)"
"50177993";"PIZZA MIA TOMPKINS INC";"Staten Island";"529";"TOMPKINS AVENUE";"10305";"9179135671";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.6128122067";"-74.0714691463";"501";"49";"000800";"5095365";"5028490001";"SI37";"POINT (-74.071469146304 40.612812206701)"
"50124939";"GANDA SUSHI";"Queens";"80-08";"SURREY PLACE";"11432";"6467061421";"Korean";"02/09/2023";"Violations were cited in the following area(s).";"09B";"Thawing procedure improper.";"Not Critical";"10";"A";"02/09/2023";"12/15/2025";"Pre-permit (Operational) / Re-inspection";"40.7263406398";"-73.7893134527";"408";"24";"127700";"4155424";"4072270036";"QN06";"POINT (-73.789313452695 40.726340639803)"
"50132557";"RACKET NYC";"Manhattan";"431";"WEST   16 STREET";"10011";"9176718984";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.74287906166";"-74.00582819427";"104";"03";"008300";"1012543";"1007140016";"MN13";"POINT (-74.005828194273 40.742879061656)"
"50178903";"GOOD DAYS";"Queens";"68-01";"FRESH POND ROAD";"11385";"9293308884";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.7052180312";"-73.89629531233";"405";"30";"058100";"4088015";"4036250031";"QN20";"POINT (-73.896295312326 40.705218031201)"
"50178498";"INSOMNIA COOKIES OPERATORS, LLC";"Brooklyn";"122";"BEDFORD AVENUE";"11249";"8778443131";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.71963076651";"-73.95580059766";"301";"33";"051700";"3061610";"3022970019";"BK73";"POINT (-73.955800597664 40.719630766505)"
"50177723";"GURYS FOOD COURT CORP";"Queens";"74-20";"ROOSEVELT AVENUE";"11372";"3475467235";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.74685963813";"-73.89115597558";"404";"25";"026700";"4036717";"4014850023";"QN29";"POINT (-73.891155975578 40.746859638127)"
"50129304";"HOT TUK";"Manhattan";"42";"WEST   42 STREET";"10036";"7185781195";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.75406823942";"-73.98232117075";"105";"04";"008400";"1085593";"1012570002";"MN17";"POINT (-73.982321170752 40.754068239421)"
"50178532";"JOYBITE TANGHULU INC";"Manhattan";"42";"BROADWAY";"10004";"3479232084";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.70626329736";"-74.01290873417";"101";"01";"000900";"1000812";"1000220020";"MN25";"POINT (-74.012908734166 40.706263297358)"
"50175063";"SAVORY DELI LLC";"Brooklyn";"30";"HUDSON YARDS";;"2127576100";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"0";"0";;;;;"3";;
"50160252";"LAZIZA";"Brooklyn";"306A";"MALCOLM X BOULEVARD";"11233";"9178346887";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.68241189654";"-73.92896435001";"303";"36";"029700";"3047160";"3016760043";"BK61";"POINT (-73.928964350006 40.682411896544)"
"50174194";"Crispy Karma";"Manhattan";"750";"8 AVENUE";"10036";"5166337237";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.75987137906";"-73.98784970528";"105";"03";"012500";"1024736";"1010187502";"MN17";"POINT (-73.987849705278 40.759871379059)"
"50175173";"NINJA JAPAN TERIYAKI & SUSHI";"Bronx";"2438";"JEROME AVENUE";"10468";"6466959927";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.86208809471";"-73.90158475312";"205";"14";"023900";"2014100";"2031880029";"BX40";"POINT (-73.901584753118 40.862088094713)"
"50179210";"OUMA'S CAFE";"Brooklyn";"676";"FLATBUSH AVENUE";"11225";"6464207609";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.6568895821";"-73.96017808329";"309";"40";"079802";"3114643";"3050260241";"BK60";"POINT (-73.960178083285 40.6568895821)"
"50179217";"Red Poke";"Manhattan";"598";"9 AVENUE";"10036";"9177473395";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.75894128667";"-73.99223922537";"104";"03";"012100";"1024955";"1010330161";"MN15";"POINT (-73.992239225365 40.758941286674)"
"50165012";"PAVIN86";"Manhattan";"1663";"1 AVENUE";"10028";"3473984583";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.77723779806";"-73.94911860109";"108";"05";"014602";"1050033";"1015490029";"MN32";"POINT (-73.949118601091 40.777237798059)"
"50178803";"AAA KENNEDY FRIED CHICKEN 1 CORP";"Manhattan";"253";"BROADWAY";"10007";"3472914783";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.71325747958";"-74.00706285662";"101";"01";"002100";"1082757";"1001347501";"MN24";"POINT (-74.007062856622 40.713257479583)"
"50172518";"KLIO RESTAURANT & BAR";"Queens";"107-02";"QUEENS BOULEVARD";"11375";"7182472545";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.72182255727";"-73.84620243037";"406";"29";"071100";"4077483";"4032380044";"QN17";"POINT (-73.846202430368 40.721822557273)"
"50179780";"Sesh Comedy";"Manhattan";"55";"CHRYSTIE STREET";"10002";"4846786440";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.71635093007";"-73.99472605849";"103";"01";"001600";"1003915";"1003030027";"MN27";"POINT (-73.994726058491 40.71635093007)"
"50173977";"MODERN BREAD AND BAGEL";"Manhattan";"630";"LEXINGTON AVENUE";"10022";"6469744046";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.75880605572";"-73.97068237943";"105";"04";"010000";"1071457";"1013087502";"MN19";"POINT (-73.970682379431 40.758806055716)"
"50116556";"WENDY'S";"Queens";"1";"MAIN TERMINAL";;"9173282791";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"0";"0";;;;;"4";;
"50158877";"CAFE COLMADO";"Manhattan";"286";"BROOME STREET";"10002";"9178285793";"Coffee/Tea";"05/17/2025";"No violations were recorded at the time of this inspection.";;;"Not Applicable";"0";;;"12/15/2025";"Inter-Agency Task Force / Initial Inspection";"40.71851361421";"-73.99150802823";"103";"01";"001800";"1005467";"1004140030";"MN27";"POINT (-73.991508028231 40.718513614205)"
"50175941";"SOFT BAR";"Brooklyn";"200";"BANKER STREET";"11222";"9257592180";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.72512846176";"-73.95560933048";"301";"33";"056100";"3330094";"3026150019";"BK76";"POINT (-73.955609330476 40.725128461762)"
"50141923";"8-BIT BITES";"Manhattan";"77";"2 AVENUE";"10003";"9176456213";"American";"07/17/2025";"Violations were cited in the following area(s).";"09B";"Thawing procedure improper.";"Not Critical";"13";"A";"07/17/2025";"12/15/2025";"Cycle Inspection / Re-inspection";"40.72647873558";"-73.98921599442";"103";"02";"003800";"1006593";"1004600037";"MN22";"POINT (-73.989215994423 40.726478735577)"
"50174513";"DON PABLO RESTAURANT CORP.";"Brooklyn";"342";"RIDGEWOOD AVENUE";"11208";"3479376584";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.68452447632";"-73.87622627686";"305";"37";"117601";"3323914";"3041270031";"BK83";"POINT (-73.876226276864 40.684524476316)"
"50160749";"ELSA";"Brooklyn";"136";"ATLANTIC AVENUE";"11201";"9176406842";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.69046776287";"-73.99524015734";"306";"39";"004500";"3002945";"3002850017";"BK33";"POINT (-73.995240157336 40.690467762866)"
"50174997";"TIME OUT MARKET (MANHATTAN) LLC";"Manhattan";"124";"EAST   14 STREET";"10003";"6462956778";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.73378522069";"-73.9883921162";"103";"02";"004200";"1084306";"1005590016";"MN22";"POINT (-73.988392116202 40.733785220688)"
"50062852";"LILLY'S CRAFT AND KITCHEN";"Manhattan";"675B";"9 AVENUE";"10036";"2127570373";"American";"05/18/2024";"No violations were recorded at the time of this inspection.";;;"Not Applicable";"0";;;"12/15/2025";"Inter-Agency Task Force / Initial Inspection";"40.76135105463";"-73.9905098523";"104";"03";"012700";;"1";"MN15";"POINT (-73.990509852302 40.761351054632)"
"50176129";"FELIX EMPANADAS";"Manhattan";"192";"ORCHARD STREET";"10002";"3058782371";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.72217208951";"-73.98813078728";"103";"01";"003001";"1005394";"1004120011";"MN27";"POINT (-73.988130787275 40.722172089509)"
"50178030";"AC GELATO QUEENS CENTER LLC";"Queens";"90-15";"QUEENS BOULEVARD";"11373";"9176627728";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.73384018201";"-73.87157703381";"404";"25";"068300";"4045999";"4018600100";"QN29";"POINT (-73.871577033806 40.733840182011)"
"50150941";"UMBRA";"Brooklyn";"785";"HART STREET";"11237";"3154121255";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.70095221302";"-73.92370786312";"304";"34";"042900";"3073187";"3032190040";"BK77";"POINT (-73.92370786312 40.70095221302)"
"50142159";"THE ATRIUM AT LAGUARDIA - ORPHEUS AND APOLLO LOUNGE";"Queens";"1";"CENTRAL TERMINAL";;"9723556751";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"0";"0";;;;;"4";;
"50170104";"ALIDORO/DUNKIN";"Queens";;"BLVD TERMINAL    8";;"6464508644";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;;;;;;;;;
"50161590";"MOONDOG HIFI";"Brooklyn";"119";"INGRAHAM STREET";"11237";"7182553388";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.70751576297";"-73.92923686528";"301";"34";"045300";"3070614";"3029920033";"BK77";"POINT (-73.929236865277 40.707515762973)"
"50168194";"SUSHI JOURNEY";"Brooklyn";"3068";"BRIGHTON    3 STREET";"11235";"9178226618";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.57751179097";"-73.96438338416";"313";"48";"036200";"3244753";"3086720091";"BK19";"POINT (-73.964383384158 40.577511790971)"
"50149115";"AWESUM DIMSUM";"Queens";"40-05";"SKILLMAN AVENUE";"11104";"6463319993";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.74719586468";"-73.92341650594";"402";"26";"017100";"4002375";"4001830292";"QN31";"POINT (-73.923416505935 40.747195864681)"
"50160484";"BAOBAO SLIDER";"Manhattan";"W";"59 STREET COLUMBUS CIRCLE";;"6466372137";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;;;;;;;;;
"41606171";"IHOP";"Manhattan";;"EAST   14 STREET";;"2123881499";"Pancakes/Waffles";"12/20/2022";"Violations were cited in the following area(s).";"04L";"Evidence of mice or live mice in establishment's food or non-food areas.";"Critical";"35";;;"12/15/2025";"Cycle Inspection / Initial Inspection";;;;;;;;;
"50179446";"RAISING CANE'S #0928";"Queens";"81-11";"ROOSEVELT AVENUE";"11372";"9727693100";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.74755868749";"-73.88465132732";"403";"25";"028300";"4030022";"4012920042";"QN28";"POINT (-73.884651327316 40.747558687486)"
"41543970";"PAUSE CAFE";"Manhattan";"3";"CLINTON SREET";;"2126775415";"Middle Eastern";"02/28/2022";"Violations were cited in the following area(s).";"02B";"Hot food item not held at or above 140º F.";"Critical";"42";"C";"02/28/2022";"12/15/2025";"Cycle Inspection / Re-inspection";"0";"0";;;;;"1";;
"50163960";"KITTY ZHAO";"Manhattan";"280";"BROADWAY";"10007";"1111111111";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.71441033834";"-74.00608902399";"101";"01";"003100";"1079215";"1001530001";"MN24";"POINT (-74.006089023993 40.714410338341)"
"50173914";"ADR VENTURES 10 LLC";"Manhattan";"393";"7 AVENUE";"10001";"9174163773";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.74946359475";"-73.99172422571";"105";"03";"010100";"1015175";"1008070001";"MN17";"POINT (-73.991724225709 40.74946359475)"
"50176570";"TERIYAKI BOWL";"Bronx";"2163A";"WHITE PLAINS ROAD";"10462";"3477255980";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.85535690846";"-73.86767597036";"211";"13";"022401";"2049380";"2043170064";"BX49";"POINT (-73.867675970355 40.855356908456)"
"50063768";"U-GU";"Brooklyn";"541B";"MYRTLE AVENUE";"11205";"7188570222";"Japanese";"12/08/2022";"Violations were cited in the following area(s).";"02B";"Hot TCS food item not held at or above 140 °F.";"Critical";"29";;;"12/15/2025";"Cycle Inspection / Initial Inspection";"40.69378299098";"-73.96276679541";"302";"35";"019100";;"3";"BK69";"POINT (-73.962766795414 40.693782990984)"
"50151025";"CHUANYUE BAR";"Queens";"138-12";"NORTHERN BOULEVARD";"11354";"6462365037";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.76401894318";"-73.82765057651";"407";"20";"086500";"4113290";"4050107505";"QN22";"POINT (-73.827650576514 40.76401894318)"
"50177796";"NYLS";"Manhattan";"234";"CHURCH STREET";"10013";"7043286780";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.71728411068";"-74.00609289495";"101";"01";"003300";"1001957";"1001760001";"MN24";"POINT (-74.006092894945 40.717284110684)"
"50007431";"KHAO KANG";"Queens";"76-20";"WOODSIDE AVENUE";"11373";"7188061807";"Thai";"06/04/2025";"No violations were recorded at the time of this inspection.";;;"Not Applicable";;;;"12/15/2025";"Administrative Miscellaneous / Initial Inspection";"40.74342898426";"-73.88861016487";"404";"25";"048300";"4037790";"4015220010";"QN50";"POINT (-73.888610164872 40.743428984264)"
"50073585";"PUNTO ROJO";"Queens";"147-16";"HILLSIDE AVENUE";"11435";"7186571660";"Spanish";"06/17/2025";"No violations were recorded at the time of this inspection.";;;"Not Applicable";;;;"12/15/2025";"Administrative Miscellaneous / Initial Inspection";"40.70587471051";"-73.80919407644";"412";"27";"023800";"4207081";"4096920061";"QN61";"POINT (-73.809194076442 40.70587471051)"
"50172105";"COMAL";"Manhattan";"116";"FORSYTH STREET";"10002";"6568567654";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.71912301946";"-73.99246393719";"103";"01";"001800";"1005583";"1004190040";"MN27";"POINT (-73.992463937193 40.719123019457)"
"50163215";"SUSHI BAR";"Manhattan";"828";"MADISON AVENUE";"10021";"6468861246";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.76993773197";"-73.96678920883";"108";"04";"012200";"1041297";"1013847502";"MN40";"POINT (-73.966789208831 40.769937731973)"
"41606171";"IHOP";"Manhattan";;"EAST   14 STREET";;"2123881499";"Pancakes/Waffles";"09/10/2025";"Violations were cited in the following area(s).";"08A";"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.";"Not Critical";"13";"A";"09/10/2025";"12/15/2025";"Cycle Inspection / Re-inspection";;;;;;;;;
"41629759";"PL LOUNGE RESTAURANT";"Queens";;"65 STREET";;"6463265165";"Latin American";"08/18/2021";"Violations were cited in the following area(s).";"10H";"Proper sanitization not provided for utensil ware washing operation.";"Not Critical";"12";"A";"08/18/2021";"12/15/2025";"Cycle Inspection / Initial Inspection";;;;;;;;;
"50160162";"U BEST BAKERY";"Queens";"136-18";"MAPLE AVENUE";"11355";"9178595607";"Bakery Products/Desserts";"08/05/2025";"Establishment re-opened by DOHMH.";;;"Not Applicable";"0";;;"12/15/2025";"Pre-permit (Operational) / Reopening Inspection";"40.75552700182";"-73.82788920215";"407";"20";"085300";"4623184";"4051357503";"QN22";"POINT (-73.82788920215 40.755527001819)"
"50166446";"SMASHED EAST VILLAGE";"Manhattan";"94";"3 AVENUE";"10003";"2129310770";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.73222340606";"-73.98797022878";"103";"02";"004200";"1084939";"1005580032";"MN22";"POINT (-73.98797022878 40.732223406058)"
"50173955";"THE TASTE OF NORTH CHINA NY INC.";"Queens";"133-47";"ROOSEVELT AVENUE";"11354";"3475857000";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.75871243216";"-73.83261680949";"407";"20";"087100";"4311709";"4049730046";"QN22";"POINT (-73.832616809491 40.758712432159)"
"50170440";"T&Y KITCHEN";"Brooklyn";"194";"STATE STREET";"11201";"9179304561";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.69047860128";"-73.99258978918";"302";"33";"000900";"3002795";"3002760041";"BK09";"POINT (-73.992589789183 40.690478601278)"
"50167878";"GOLDEN STEAMER I INC.";"Manhattan";"143";"MOTT STREET";"10013";"6465231688";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.71868131037";"-73.99664504941";"102";"01";"004100";"1079581";"1002370019";"MN24";"POINT (-73.996645049413 40.718681310365)"
